Country name,Ladder score,Population 2020,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income
Lebanon,4.771500111,6825442,21.508,31.1,0,8.956,0,0,0.107,31.83
Lesotho,3.652800083,2142252,2.381,24,0,9.317,0,0,0.279,54.18
Liberia,4.557899952,5057677,1.641,19.2,0,9.398,0,0,0.273,35.27
Libya,5.488800049,6871287,21.51,29,0,9.122,0,0,0.311,30.2
Lithuania,6.215499878,2722291,53.558,43.5,0,8.944,0,1,0.189,36.9
Luxembourg,7.237500191,625976,79.076,39.7,0,9.07,0,0,0.595,30.9
Madagascar,4.165599823,27691019,0.942,19.6,1,9.142,0,0,0.312,42.65
Malawi,3.538000107,19129955,0.988,18.1,0,9.207,0,0,0.323,44.69
Malaysia,5.384300232,32365998,1.455,29.9,0,8.415,1,0,0.443,41.04
Maldives,5.197599888,540542,8.88,30.6,1,8.738,0,0,0.327,37.343
Mali,4.729300022,20250834,1.328,16.4,0,9.352,0,0,0.274,33.04
Malta,6.772799969,441539,49.599,42.4,1,9.097,0,0,0.403,28.7
Mauritania,4.374599934,4649660,7.463,20.3,0,9.364,0,0,0.122,32.62
Mauritius,6.101299763,1271767,0.786,37.4,1,9.084,0,0,0.411,38.47
Mexico,6.465000153,128932753,97.576,29.3,0,9.434,0,0,0.129,47.5
Moldova,5.607500076,4033963,73.997,37.6,0,8.952,0,0,0.104,25.9
Mongolia,5.456200123,3278292,0.031,28.6,0,8.326,1,0,0.102,32.35
Montenegro,5.54610014,628062,108.588,39.1,0,9.015,0,0,0.216,31.93
Morocco,5.094799995,36910558,20.016,29.6,0,9.226,0,0,0.397,39.55
Mozambique,4.623600006,31255435,0.531,17.7,0,9.273,0,0,0.473,49.417
Myanmar,4.308000088,54409794,4.929,29.1,0,8.299,0,1,0.621,38.07
Namibia,4.571100235,2540916,8.068,22,0,9.349,0,1,0.311,57.535
Nepal,5.137199879,29136808,6.37,25,0,8.418,0,1,0.392,32.84
Netherlands,7.448900223,17134873,67.26,43.2,0,9.06,0,0,0.522,27
New Zealand,7.299600124,4822233,0.518,37.9,1,9.266,1,1,0.527,34.1
Nicaragua,6.13710022,6624554,2.491,27.3,0,9.528,0,0,0.28,46.515
Niger,4.909599781,24206636,0.43,15.1,0,9.29,0,0,0.484,34.28
Nigeria,4.724100113,206139587,0.625,18.1,0,9.279,0,0,0.2,44.894
Norway,7.487999916,5421242,8.042,39.7,0,8.993,0,1,0.606,24.8
Pakistan,5.69329977,220892331,4.607,23.5,0,8.577,0,0,0.277,33.45
Palestinian Territories,4.552800179,5101416,27.443,20.4,0,8.975,0,0,0.164,33.69
Panama,6.304800034,4314768,93.215,29.7,0,9.568,0,0,0.182,49.8
Paraguay,5.692100048,7132530,31.714,26.5,0,9.726,0,0,0.138,47.4
Peru,5.796800137,32971846,114.279,29.1,0,9.69,0,0,0.096,43.9
Philippines,6.006000042,109581085,8.436,25.2,1,8.226,1,0,0.52,42.23
Poland,6.186299801,37846605,75.447,41.8,0,8.978,0,0,0.304,27.8
Portugal,5.910900116,10196707,67.728,46.2,0,9.207,0,0,0.248,32.1
Romania,6.123700142,19237682,81.959,43,0,8.981,0,0,0.1,35.1
Russia,5.546000004,145934460,38.559,39.6,0,8.869,0,0,0.196,34.56
Rwanda,3.312299967,12952209,0.71,20.3,0,9.174,0,0,0.906,43.71
Saudi Arabia,6.406499863,34813867,17.875,31.9,0,8.897,0,0,0.651,45.9
Senegal,4.980800152,16743930,2.449,18.7,0,9.39,0,0,0.355,40.29
Serbia,5.77820015,6804596,47.189,41.2,0,9.015,0,1,0.221,37.8
Sierra Leone,3.926399946,7976985,0.953,19.1,0,9.401,0,0,0.338,34.03
Singapore,6.377099991,5850343,0.496,42.4,1,8.426,1,1,0.869,45.2
Slovakia,6.280600071,5459643,39.16,41.2,0,9.019,0,1,0.195,23.2
Slovenia,6.363399982,2078932,129.73,44.5,0,9.045,0,0,0.177,23.4
South Africa,4.814099789,59308690,48.001,27.3,0,9.297,0,0,0.193,65.426
South Korea,5.872399807,51269183,1.789,43.4,0,8.228,1,0,0.112,35.5
South Sudan,2.816600084,11193729,0.563,19.2,0,9.066,0,0,0.179,46.34
Spain,6.400899887,46754783,108.731,45.5,0,9.172,0,0,0.143,33.2
Sri Lanka,4.327000141,21413250,0.953,34.1,1,8.635,0,0,0.368,41.937
Sweden,7.353499889,10099270,86.412,41,0,8.963,0,0,0.451,27
Switzerland,7.559899807,8654618,88.334,43.1,0,9.078,0,0,0.66,30.1
Taiwan Province of China,6.45539999,23816775,0.029,42.2,0,8.088,1,1,0.158,29.467
Tajikistan,5.555699825,9537642,0.944,23.3,0,8.624,0,0,0.554,34
Tanzania,3.476200104,59734213,0.035,17.7,0,9.153,0,0,0.621,37.78
Thailand,5.998799801,69799978,0.09,40.1,0,8.27,0,0,0.354,35.315
Togo,4.187200069,8278737,0.821,19.4,0,9.329,0,1,0.212,43.06
Trinidad and Tobago,6.191899776,1399491,9.075,36.2,1,9.56,0,1,0.082,47.243
Tunisia,4.392199993,11818618,39.565,32.7,0,9.118,0,0,0.129,32.82
Turkey,5.131800175,84339067,24.758,31.6,0,8.952,0,0,0.295,40.55
Uganda,4.43200016,5942089,0.549,16.4,0,9.143,0,0,0.239,42.75
Ukraine,4.56069994,45741000,44.087,41.4,0,8.929,0,0,0.059,25
United Arab Emirates,6.790800095,43733759,6.764,34,0,8.821,0,0,0.694,38.3
United Kingdom,7.164500237,9890400,108.45,40.8,1,9.087,0,0,0.268,34.07
United States,6.939599991,67886004,104.451,38.3,0,9.315,0,0,0.25,47.51
Uruguay,6.440100193,331002647,5.21,35.6,0,9.711,0,0,0.247,39.25
Uzbekistan,6.257599831,3473727,1.834,28.2,0,8.62,0,0,0.435,39.7
Venezuela,5.053199768,33469199,3.615,29,0,9.564,0,0,0.12,37.8
Vietnam,5.353499889,28435943,0.036,32.6,0,8.108,1,0,0.49,40.1
Yemen,3.527400017,97338583,2.045,20.3,0,8.966,0,0,0.267,36.71
Zambia,3.759399891,29825968,2.11,17.7,0,9.251,0,0,0.322,57.14
Zimbabwe,3.299200058,18383956,2.442,19.6,0,9.244,0,0,0.287,40.363
,,14862927,,,,,,,,
